Time_s,gps_valid,gnss_east_m,gnss_north_m,fused_east_m,fused_north_m,pure_east_m,pure_north_m,err_fused_m,err_pure_m
5.8019,1,86.0664,15.9244,86.0664,15.9244,86.1567,15.7439,0.0000,0.2018
5.9019,1,87.5381,16.1367,87.5381,16.1367,87.6104,16.1017,0.0000,0.0803
6.0019,1,89.0088,16.5613,89.0088,16.5613,89.0640,16.4472,0.0000,0.1267
6.1019,1,89.7446,16.3490,89.7446,16.3490,90.5112,16.8232,0.0000,0.9014
6.2019,1,91.9517,16.9860,91.9517,16.9860,91.9668,17.1672,0.0000,0.1818
6.3019,1,93.4229,16.9860,93.4229,16.9860,93.4219,17.4971,0.0000,0.5111
6.4019,1,94.1582,17.4106,94.1582,17.4106,94.8872,17.7692,0.0000,0.8124
6.5019,1,94.1582,17.4106,94.1582,17.4106,96.3530,18.0413,0.0000,2.2836
6.6019,1,97.8364,18.4723,97.8364,18.4723,97.8257,18.2815,0.0000,0.1911
6.7019,1,99.3076,18.6846,99.3076,18.6846,99.3062,18.4528,0.0000,0.2318
6.8019,1,101.5146,18.8969,101.5146,18.8969,100.7769,18.6820,0.0000,0.7685
6.9019,1,102.9854,18.8969,102.9854,18.8969,102.2378,18.9779,0.0000,0.7519
7.0019,1,104.4570,19.3216,104.4570,19.3216,103.6831,19.3420,0.0000,0.7742
7.1019,1,105.1924,19.5339,105.1924,19.5339,105.1436,19.6516,0.0000,0.1274
7.2019,1,106.6636,19.7462,106.6636,19.7462,106.6001,19.9676,0.0000,0.2303
7.3019,1,108.1348,20.1709,108.1348,20.1709,108.0601,20.2870,0.0000,0.1381
7.4019,1,108.8706,20.3832,108.8706,20.3832,109.5234,20.5943,0.0000,0.6861
7.5019,1,110.3418,20.5955,110.3418,20.5955,110.9863,20.9055,0.0000,0.7152
7.6019,1,111.8130,20.8079,111.8130,20.8079,112.4512,21.2057,0.0000,0.7520
7.7019,1,112.5488,21.2325,112.5488,21.2325,113.9131,21.5228,0.0000,1.3948
7.8019,1,114.0200,21.4448,114.0200,21.4448,115.3774,21.8459,0.0000,1.4154
7.9019,1,115.4912,21.6571,115.4912,21.6571,116.8438,22.1701,0.0000,1.4465
8.0019,1,116.9619,22.0818,116.9619,22.0818,118.3120,22.4886,0.0000,1.4101
8.1019,1,117.6978,22.2941,117.6978,22.2941,119.7793,22.8139,0.0000,2.1455
8.2019,1,119.1689,22.5064,119.1689,22.5064,121.2461,23.1402,0.0000,2.1717
8.3019,1,120.6406,22.9311,120.6406,22.9311,122.7129,23.4662,0.0000,2.1402
8.4019,1,121.3755,23.1434,121.3755,23.1434,124.1802,23.7925,0.0000,2.8788
8.5019,1,122.8472,23.3558,122.8472,23.3558,125.6470,24.1188,0.0000,2.9019
8.6019,1,124.3184,23.5681,124.3184,23.5681,127.1143,24.4454,0.0000,2.9303
8.7019,1,125.0537,23.9927,125.0537,23.9927,128.5859,24.7731,0.0000,3.6174
8.8019,1,126.5249,24.2050,126.5249,24.2050,130.0581,25.1002,0.0000,3.6448
8.9019,1,127.2607,24.8420,127.2607,24.8420,131.5283,25.4269,0.0000,4.3075
9.0019,0,,,128.8740,25.7375,133.1416,26.3224,0.0168,4.3236
9.1019,0,,,130.4712,26.5355,134.7388,27.1204,0.1043,4.3117
9.2019,0,,,132.0479,27.3400,136.3154,27.9249,0.1965,4.2823
9.3019,0,,,133.5947,28.0840,137.8623,28.6689,0.3546,4.2214
9.4019,0,,,135.1782,28.8449,139.4458,29.4298,0.4923,4.2029
9.5019,0,,,136.7529,29.7037,141.0205,30.2887,0.5345,4.1802
9.6019,0,,,138.3203,30.5407,142.5884,31.1256,0.6000,4.1510
9.7019,0,,,139.8730,31.2280,144.1411,31.8129,0.8154,4.1126
9.8019,0,,,141.4302,32.0031,145.6982,32.5881,0.9439,4.0815
9.9019,0,,,143.0181,32.8599,147.2861,33.4448,0.9862,4.0764
10.0019,0,,,144.5757,33.6672,148.8433,34.2522,1.0834,4.0466
10.1019,0,,,146.1919,34.4344,150.4595,35.0193,1.2075,4.0832
10.2019,0,,,147.7524,35.2429,152.0200,35.8279,1.3024,4.0617
10.3019,0,,,149.3657,36.1002,153.6328,36.6852,1.3393,4.0847
10.4019,0,,,150.9805,36.9761,155.2480,37.5610,1.3580,4.1070
10.5019,0,,,152.6064,37.8890,156.8740,38.4739,1.3388,4.1332
10.6019,0,,,154.1738,38.8075,158.4419,39.3925,1.3234,4.1013
10.7019,0,,,155.7432,39.7555,160.0112,40.3404,1.2797,4.0659
10.8019,0,,,157.3535,40.6400,161.6216,41.2250,1.2903,4.0816
10.9019,0,,,158.9165,41.5356,163.1851,42.1205,1.2997,4.0493
11.0019,0,,,160.4883,42.4439,164.7568,43.0288,1.2954,4.0231
11.1019,0,,,162.0513,43.3564,166.3198,43.9413,1.2898,3.9875
11.2019,0,,,163.6299,44.2226,167.8984,44.8075,1.3254,3.9752
11.3019,0,,,165.2090,45.1688,169.4775,45.7538,1.2841,3.9497
11.4019,0,,,166.8218,46.0887,171.0898,46.6736,1.2587,3.9617
11.5019,0,,,168.3931,47.0192,172.6611,47.6042,1.2353,3.9317
11.6019,0,,,169.9810,47.8258,174.2490,48.4108,1.3252,3.9378
11.7019,0,,,171.5742,48.7429,175.8428,49.3279,1.3082,3.9317
11.8019,0,,,173.1064,49.3611,177.3750,49.9461,1.5947,3.9258
11.9019,0,,,174.6890,50.2035,178.9575,50.7885,1.6522,3.9259
12.0019,0,,,176.2461,51.0594,180.5146,51.6444,1.7041,3.8988
12.1019,0,,,177.8545,51.9112,182.1230,52.4962,1.7451,3.9227
12.2019,0,,,179.3770,52.7245,183.6455,53.3095,1.8482,3.8762
12.3019,0,,,180.9141,53.5757,185.1826,54.1607,1.9118,3.8342
12.4019,0,,,182.4536,54.4305,186.7222,55.0154,1.9720,3.7943
12.5019,0,,,184.0488,55.3345,188.3174,55.9195,1.9670,3.7910
12.6019,0,,,185.5913,56.3066,189.8599,56.8916,1.9184,3.7157
12.7019,0,,,187.1484,57.2477,191.4170,57.8326,1.8950,3.6647
12.8019,0,,,188.7178,58.1806,192.9863,58.7655,1.8751,3.6280
12.9019,0,,,190.3013,59.0835,194.5698,59.6684,1.8766,3.6140
13.0019,0,,,191.8823,60.0001,196.1509,60.5850,1.8671,3.5936
13.1019,0,,,193.4434,60.8938,197.7119,61.4787,1.8873,3.5610
13.2019,0,,,195.0366,61.7859,199.3052,62.3708,1.8943,3.5596
13.3019,0,,,196.6284,62.7227,200.8970,63.3076,1.8625,3.5433
13.4019,0,,,198.2339,63.6198,202.5024,64.2048,1.8592,3.5520
13.5019,0,,,199.8008,64.5479,204.0693,65.1329,1.8473,3.5147
13.6019,0,,,201.3491,65.4653,205.6177,66.0503,1.8550,3.4629
13.7019,0,,,202.9082,66.3726,207.1768,66.9575,1.8669,3.4243
13.8019,0,,,204.4844,67.2591,208.7529,67.8441,1.8877,3.4081
13.9019,0,,,206.0610,68.2171,210.3301,68.8020,1.8486,3.3722
14.0019,0,,,207.6250,69.1366,211.8936,69.7215,1.8496,3.3343
14.1019,0,,,209.1870,70.1183,213.4556,70.7032,1.8029,3.2786
14.2019,0,,,210.7739,71.0701,215.0425,71.6550,1.7668,3.2557
14.3019,0,,,212.3540,72.0086,216.6230,72.5935,1.7463,3.2305
14.4019,0,,,213.9258,72.9226,218.1948,73.5076,1.7505,3.2026
14.5019,0,,,215.5249,73.8417,219.7939,74.4267,1.7331,3.2003
14.6019,0,,,217.1113,74.7706,221.3799,75.3555,1.7171,3.1831
14.7019,0,,,218.6636,75.7220,222.9321,76.3069,1.7093,3.1286
14.8019,0,,,220.2148,76.6616,224.4834,77.2465,1.7129,3.0760
14.9019,0,,,221.7632,77.5741,226.0322,78.1591,1.7388,3.0263
15.0019,0,,,223.3320,78.5065,227.6011,79.0915,1.7374,2.9926
15.1019,0,,,224.8979,79.4398,229.1670,80.0247,1.7388,2.9562
15.2019,0,,,226.4492,80.3591,230.7183,80.9441,1.7615,2.9079
15.3019,0,,,227.9985,81.2920,232.2681,81.8770,1.7790,2.8561
15.4019,0,,,229.5586,82.2590,233.8276,82.8439,1.7706,2.8093
15.5019,0,,,231.1431,83.2136,235.4121,83.7985,1.7509,2.7902
15.6019,0,,,232.7202,84.1613,236.9893,84.7462,1.7427,2.7655
15.7019,0,,,234.3159,85.1324,238.5850,85.7173,1.7088,2.7583
15.8019,0,,,235.8813,86.0840,240.1504,86.6689,1.7132,2.7237
15.9019,0,,,237.4307,87.0906,241.7002,87.6755,1.7138,2.6732
16.0019,0,,,238.9946,88.0355,243.2637,88.6204,1.7282,2.6398
16.1019,0,,,240.5806,89.0345,244.8501,89.6194,1.7075,2.6318
16.2019,0,,,242.1470,89.9618,246.4165,90.5467,1.7288,2.6030
16.3019,0,,,243.7280,90.9850,247.9971,91.5699,1.7162,2.5966
16.4019,0,,,245.2773,91.9751,249.5469,92.5600,1.7483,2.5611
16.5019,0,,,246.8135,93.0201,251.0825,93.6049,1.7956,2.5258
16.6019,0,,,248.3623,93.9890,252.6318,94.5739,1.8416,2.4947
16.7019,0,,,249.9336,94.9697,254.2026,95.5546,1.8683,2.4900
16.8019,0,,,251.4814,95.8990,255.7505,96.4839,1.9185,2.4515
16.9019,0,,,253.0620,96.8401,257.3311,97.4250,1.9373,2.4485
17.0019,0,,,254.6187,97.8100,258.8877,98.3949,1.9838,2.4330
17.1019,0,,,256.1699,98.7616,260.4390,99.3465,2.0353,2.4086
17.2019,0,,,257.7295,99.6912,261.9985,100.2761,2.0764,2.3855
17.3019,0,,,259.2866,100.6378,263.5557,101.2227,2.1230,2.3675
17.4019,0,,,260.8496,101.6344,265.1187,102.2193,2.1744,2.3778
17.5019,0,,,262.3862,102.5799,266.6553,103.1648,2.2431,2.3452
17.6019,0,,,263.9189,103.5581,268.1880,104.1430,2.3241,2.3276
17.7019,0,,,265.4478,104.5126,269.7168,105.0975,2.4041,2.2983
17.8019,0,,,267.0078,105.4902,271.2769,106.0751,2.4612,2.3110
17.9019,0,,,268.5420,106.4349,272.8110,107.0198,2.5346,2.2865
18.0019,0,,,270.1284,107.4041,274.3975,107.9890,2.5664,2.3209
18.1019,0,,,271.6938,108.4125,275.9629,108.9974,2.6333,2.3657
18.2019,0,,,273.2812,109.3786,277.5503,109.9636,2.6669,2.4031
18.3019,0,,,274.8350,110.2513,279.1040,110.8363,2.6973,2.3541
18.4019,0,,,276.3750,111.1823,280.6445,111.7672,2.7620,2.3348
18.5019,0,,,277.9438,112.1393,282.2134,112.7242,2.8099,2.3557
18.6019,0,,,279.5117,113.1093,283.7812,113.6942,2.8644,2.3869
18.7019,0,,,281.0791,114.0865,285.3486,114.6715,2.9235,2.4252
18.8019,0,,,282.6494,115.0235,286.9189,115.6084,2.9638,2.4370
18.9019,0,,,284.2109,115.9463,288.4805,116.5313,3.0061,2.4332
19.0019,0,,,285.7524,116.9304,290.0220,117.5154,3.0932,2.4661
19.1019,0,,,287.3057,117.9282,291.5752,118.5132,3.1772,2.5207
19.2019,0,,,288.8735,118.9381,293.1431,119.5231,3.2557,2.5968
19.3019,0,,,290.4668,119.9077,294.7363,120.4927,3.2940,2.6550
19.4019,0,,,292.0454,120.8877,296.3149,121.4727,3.3513,2.7150
19.5019,0,,,293.6431,121.8635,297.9126,122.4485,3.3914,2.7822
19.6019,0,,,295.2241,122.8432,299.4937,123.4282,3.4488,2.8452
19.7019,0,,,296.7793,123.8373,301.0488,124.4222,3.5367,2.9098
19.8019,0,,,298.3359,124.8281,302.6055,125.4131,3.6223,2.9744
19.9019,0,,,299.9028,125.8214,304.1724,126.4064,3.7020,3.0476
20.0019,0,,,301.4668,126.8234,305.7363,127.4083,3.7901,3.1289
20.1019,0,,,303.0322,127.8340,307.3018,128.4189,3.8835,3.2204
20.2019,0,,,304.5762,128.8647,308.8457,129.4497,4.0075,3.3248
20.3019,0,,,306.1011,129.8747,310.3706,130.4597,4.1339,3.4062
20.4019,0,,,307.6499,130.8403,311.9194,131.4253,4.2139,3.4555
20.5019,0,,,309.1953,131.8292,313.4648,132.4141,4.3116,3.5273
20.6019,0,,,310.7588,132.8524,315.0283,133.4373,4.4186,3.6386
20.7019,0,,,312.2852,133.9131,316.5542,134.4980,4.5795,3.7783
20.8019,0,,,313.8384,134.8958,318.1074,135.4807,4.6687,3.8508
20.9019,0,,,315.4121,135.8881,319.6812,136.4730,4.7498,3.9378
21.0019,0,,,316.9736,136.8533,321.2427,137.4383,4.8215,3.9965
21.1019,0,,,318.5205,137.8917,322.7900,138.4766,4.9549,4.1249
21.2019,0,,,320.0933,138.9386,324.3623,139.5235,5.0770,4.2672
21.3019,0,,,321.6118,139.9760,325.8809,140.5610,5.2313,4.3927
21.4019,0,,,323.1245,141.0053,327.3940,141.5903,5.3840,4.5115
21.5019,0,,,324.6797,142.0407,328.9492,142.6256,5.5123,4.6430
21.6019,0,,,326.2104,143.0632,330.4795,143.6482,5.6483,4.7600
21.7019,0,,,327.7598,144.1069,332.0293,144.6919,5.7878,4.9010
21.8019,0,,,329.3037,145.1450,333.5732,145.7300,5.9272,5.0366
21.9019,0,,,330.8784,146.0724,335.1479,146.6573,5.9637,5.0642
22.0019,0,,,332.4453,146.9559,336.7148,147.5408,5.9725,5.0478
22.1019,0,,,334.0283,147.9615,338.2979,148.5465,6.0621,5.1544
22.2019,0,,,335.5830,148.9998,339.8525,149.5847,6.1954,5.2922
22.3019,0,,,337.1309,149.9732,341.4004,150.5582,6.2844,5.3655
22.4019,0,,,338.6519,150.7633,342.9219,151.3482,6.2526,5.2554
22.5019,0,,,340.1890,151.7209,344.4590,152.3058,6.3367,5.3139
22.6019,0,,,341.7402,152.7738,346.0103,153.3587,6.4827,5.4683
22.7019,0,,,343.2959,153.8376,347.5654,154.4225,6.6349,5.6341
22.8019,0,,,344.8374,154.7626,349.1069,155.3475,6.6912,5.6615
22.9019,0,,,346.3545,155.7518,350.6240,156.3367,6.8121,5.7544
23.0019,0,,,347.8623,156.7368,352.1318,157.3217,6.9358,5.8443
23.1019,0,,,349.3438,157.6132,353.6133,158.1981,6.9953,5.8289
23.2019,0,,,350.8301,158.5776,355.0996,159.1625,7.1182,5.9030
23.3019,0,,,352.3667,159.6242,356.6362,160.2091,7.2690,6.0561
23.4019,0,,,353.9238,160.8494,358.1934,161.4343,7.5425,6.3853
