ï»¿Time_s      	Left_FrontWheelSpeed	Right_FrontWheelSpeed
      0.1412	      0.0000	      0.0000
      0.1607	      0.0000	      0.0000
      0.1817	      0.0000	      0.0000
      0.2016	      0.0000	      0.0000
      0.2207	      0.0000	      0.0000
      0.2412	      0.0000	      0.0000
      0.2607	      0.0000	      0.0000
      0.2803	      0.0000	      0.0000
      0.3016	      0.0000	      0.0000
      0.3210	      0.0000	      0.0000
      0.3413	      0.0000	      0.0000
      0.3608	      0.0000	      0.0000
      0.3818	      0.0000	      0.0000
      0.4018	      0.0000	      0.0000
      0.4207	      0.0000	      0.0000
      0.4412	      0.0000	      0.0000
      0.4608	      0.0000	      0.0000
      0.4818	      0.0000	      0.0000
      0.5016	      0.0000	      0.0000
      0.5210	      0.0000	      0.0000
      0.5413	      0.0000	      0.0000
      0.5608	      0.0000	      0.0000
      0.5818	      0.0000	      0.0000
      0.6016	      0.0000	      0.0000
      0.6207	      0.0000	      0.0000
      0.6412	      0.0000	      0.0000
      0.6608	      0.0000	      0.0000
      0.6818	      0.0000	      0.0000
      0.7016	      0.0000	      0.0000
      0.7210	      0.0000	      0.0000
      0.7413	      0.0000	      0.0000
      0.7609	      0.0000	      0.0000
      0.7818	      0.0000	      0.0000
      0.8016	      0.0000	      0.0000
      0.8208	      0.0000	      0.0000
      0.8412	      0.0000	      0.0000
      0.8608	      0.0000	      0.0000
      0.8818	      0.0000	      0.0000
      0.9014	      0.0000	      0.0000
      0.9210	      0.0000	      0.0000
      0.9413	      0.0000	      0.0000
      0.9609	      0.0000	      0.0000
      0.9818	      0.0000	      0.0000
      1.0016	      0.0000	      0.0000
      1.0208	      0.0000	      0.0000
      1.0412	      0.0000	      0.0000
      1.0608	      0.0000	      0.0000
      1.0818	      0.0000	      0.0000
      1.1017	      0.0000	      0.0000
      1.1211	      0.0000	      0.0000
      1.1413	      0.0000	      0.0000
      1.1608	      0.0000	      0.0000
      1.1813	      0.0000	      0.0000
      1.2017	      0.0000	      0.0000
      1.2208	      0.0000	      0.0000
      1.2413	      0.0000	      0.0000
      1.2608	      0.0000	      0.0000
      1.2804	      0.0000	      0.0000
      1.3017	      0.0000	      0.0000
      1.3211	      0.0000	      0.0000
      1.3413	      0.0000	      0.0000
      1.3609	      0.0000	      0.0000
      1.3813	      0.0000	      0.0000
      1.4017	      0.0000	      0.0000
      1.4208	      0.0000	      0.0000
      1.4412	      0.0000	      0.0000
