Time_s,AccX_g,AccY_g,AccZ_g,GyroX_degs,GyroY_degs,GyroZ_degs,VehicleSpeed_kmh,Latitude_deg,Longitude_deg,Height_m,ENU_x,ENU_y,VehicleSpeed_ms,Heading_rad,GPS_heading_valid,Base_dx,Base_dy,True_dx,True_dy,Target_dx,Target_dy,GPS_valid,dataset_id
0.0,-0.543,-0.7525,0.4035,0.0,0.34,0.06,0.0,32.43055512,120.50587867,16.474,-1.596163201611489e-10,18.631327103334115,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,Data01
0.1,-0.5375,-0.7505,0.3935,-0.75,-0.41999999999999993,0.5,0.0,32.43055512,120.50587867,16.473,6.366462912410498e-12,18.631327102980777,0.0,0.0,0,0.0,0.0,1.659827830735594e-10,-3.533386916387826e-10,1.659827830735594e-10,-3.533386916387826e-10,1,Data01
0.2,-0.5439999999999999,-0.7475,0.4045,-0.29000000000000076,-0.14000000000000032,0.3299999999999991,0.0,32.43055512,120.50587867,16.476,-1.8189894035458565e-11,18.631327103290914,0.0,0.0,0,0.0,0.0,-2.4556356947869062e-11,3.1013769330456853e-10,-2.4556356947869062e-11,3.1013769330456853e-10,1,Data01
0.30000000000000004,-0.5355,-0.745,0.397,-0.71,-0.37,0.4600000000000001,0.0,32.43055512,120.50587867,16.476,-1.8189894035458565e-11,18.631327103290914,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,Data01
0.4,-0.536,-0.7495,0.4095,-0.10999999999999999,0.3400000000000001,0.0,0.0,32.43055512,120.50587867,16.476,-1.8189894035458565e-11,18.631327103290914,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,Data01
0.5,-0.534,-0.752,0.3955,-0.78,-0.29,0.48,0.0,32.43055512,120.50587867,16.474,-1.596163201611489e-10,18.631327103334115,0.0,0.0,0,0.0,0.0,-1.4142642612569034e-10,4.320099833421409e-11,-1.4142642612569034e-10,4.320099833421409e-11,1,Data01
0.6000000000000001,-0.5389999999999998,-0.748,0.4079999999999999,-0.06999999999999967,0.23999999999999666,0.37999999999999623,0.0,32.43055513,120.50587867,16.47,-1.6370904631912708e-10,18.63243499223927,0.0,0.0,0,0.0,0.0,-4.092726157978177e-12,0.0011078889051532315,-4.092726157978177e-12,0.0011078889051532315,1,Data01
0.7000000000000001,-0.5365,-0.7514999999999998,0.3990000000000001,-0.6699999999999977,-0.41999999999999854,0.31,0.0,32.43055513,120.50587867,16.47,-1.6370904631912708e-10,18.63243499223927,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,Data01
0.8,-0.5414999999999998,-0.7554999999999998,0.40799999999999986,-0.020000000000004996,0.06999999999999512,0.009999999999998335,0.0,32.43055513,120.50587867,16.47,-1.6370904631912708e-10,18.63243499223927,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,Data01
0.9,-0.5399999999999999,-0.7539999999999999,0.39450000000000013,-0.4999999999999999,-0.10000000000000218,0.14000000000000382,0.0,32.43055513,120.50587867,16.468,-3.051354724448174e-10,18.632434991889113,0.0,0.0,0,0.0,0.0,-1.4142642612569034e-10,-3.5015546018257737e-10,-1.4142642612569034e-10,-3.5015546018257737e-10,1,Data01
1.0,-0.5445,-0.7515,0.407,-0.16999999999999998,0.2,0.18,0.0,32.43055513,120.50587867,16.468,-3.051354724448174e-10,18.632434991889113,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,Data01
1.1,-0.543,-0.7505,0.4,-0.84,-0.48,0.36,0.0,32.43055513,120.50587867,16.467,-1.3915268937125802e-10,18.63243499192913,0.0,0.0,0,0.0,0.0,1.659827830735594e-10,4.001776687800884e-11,1.659827830735594e-10,4.001776687800884e-11,1,Data01
1.2000000000000002,-0.5399999999999996,-0.7589999999999997,0.40749999999999975,0.029999999999992227,0.2499999999999858,0.11000000000000289,0.0,32.43055513,120.50587867,16.469,2.2737367544323206e-12,18.632434991886385,0.0,0.0,0,0.0,0.0,1.4142642612569034e-10,-4.274625098332763e-11,1.4142642612569034e-10,-4.274625098332763e-11,1,Data01
1.3,-0.5425,-0.7525,0.3935,-0.85,-0.66,0.47000000000000003,0.0,32.43055513,120.50587867,16.469,2.2737367544323206e-12,18.632434991886385,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,Data01
1.4000000000000001,-0.5404999999999995,-0.7509999999999998,0.40599999999999986,0.08999999999998978,0.17999999999999178,0.08000000000000222,0.0,32.43055513,120.50587867,16.47,-1.6370904631912708e-10,18.63243499223927,0.0,0.0,0,0.0,0.0,-1.659827830735594e-10,3.5288394428789616e-10,-1.659827830735594e-10,3.5288394428789616e-10,1,Data01
1.5,-0.5427524752475248,-0.7419950495049505,0.39602475247524754,-0.4824752475247522,-0.272178217821782,0.38821782178217845,0.0,32.43055513,120.50587867,16.47,-1.6370904631912708e-10,18.63243499223927,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,Data01
1.6,-0.53995,-0.7532949999999999,0.40249500000000005,0.14410000000000062,0.2852000000000005,-0.03430000000000066,0.0,32.43055512,120.50587867,16.464,-1.0459189070388675e-10,18.631327103456442,0.0,0.0,0,0.0,0.0,5.911715561524034e-11,-0.001107888782826194,5.911715561524034e-11,-0.001107888782826194,1,Data01
